review,sentiment
"空間乾淨清潔，個人的空間和其他迴轉壽司連鎖店差不多，提供的佐料為甘味醬油，玫瑰鹽，五味粉，單包裝的芥末。另外免費醋薑是用點的，辣度比較高。
醋飯明顯較為Q彈，粒粒分明而且有黏性，搭配生魚都還可以感受到醋飯的口感，酸度不高，不會有搶味的感覺
握壽司選擇種類上相當多樣，有醬漬，鹽燒，炙燒，酥炸等特別處理的，或加上明太子，奶油，洋蔥等點綴的系列。令人印象深刻的是天婦羅炸得酥脆，上桌時候還可以感覺到溫度，佐以適當的醬汁很不錯。蝦子的組合也是十分推薦的，可以一次吃到三種不同口感的蝦子。
美中不足的是，這個地方停車不是很方便，可以考慮停在旁邊的小北市場附設的停車場裡面，路邊的停車格非常難找。",positive
"台灣人就愛日本的這種店，基本上只要是從日本來的餐廳台灣人都愛，不管什麼時候去人都很多要排隊……
壽司、生魚片、湯、甜點都算好吃！日本來的店的品質就是有保證，而且店員訓練到非常的有禮貌，讓人感覺像是到了日本一樣。",positive
"我們家真的很愛壽司郎
台南的壽司郎到處跑！
西門店我們也很常來，有次爸爸不小心把平板撞到水杯有東西都往下掉，我趕快拿紙巾擦拭，店內人員發現馬上過來整理，說沒關係交給我們處理，真的很謝謝很貼心，這期的限定商品我也都很喜歡😘希望多多有新品上市，可以吃到個多不同的平價壽司🍣",positive
"鮪魚很優～三貫一盤的蝦也必吃！🦐
感覺蝦有略勝藏壽司，不過希望像藏壽司跟爭鮮一樣有蓋子蓋著，以防口沫傳染～ …",positive
"雖然壽司郎在台南很多間
有人說好吃只有幾間而已
之前試過永康店壽司不錯
今天再來試試西門店的
生食的部份有新鮮
壽司米也不會太硬
推推推👍👍👍",positive
"開車前往不曉得店家有沒有停車場

所以我們停在對面的小北夜市裡
(費用便宜)
進去就坐茶水自助，不過水只能算

溫水，茶粉沖泡起來沒fu。

除了比較特別的品項，轉盤上陸陸

續續都會上菜，若是不想等可以直

接平板點餐。

一趟吃下來個人覺得不錯吃但口味

是偏鹹。

四人吃了快1600，結帳時贈送的

集點卡竟是一人一張分開不能合集

滿300一點，所以若想換他們的週

邊商品除非很愛他們家的壽司，不

然我覺得收集兌換難度高…",positive
海膽壽司沒有那麼鮮甜，價格比爭鮮和藏壽司貴，在日本是一盤一百日幣的平價壽司,positive
"握壽司（鮭魚、赤蝦）和拉麵的味道仍維持不錯的水準，孩子們最愛豆皮壽司和豆皮拉麵各點了2份呢！
也有依照季節推出特別的食材，可以點來嚐鮮喔！
雖然單價沒有漲，但可能因為物價上漲而有縮水的情況～
因為是在將近打烊前半小時（9點左右）到店，所以路邊停車格還有位置、入店後直接安排座位並提供兩個兒童座椅👍
隔壁就是健身房，也有健身房專用的停車場，若能與健身房合作在用餐巔峰時段提供部分停車位應該會更方便喔！",positive
這次的鮭魚活動讓我愛不釋手的一直去吃，肉質不錯，也很新鮮，希望多點鮭魚的促銷活動！,positive
"納豆壽司還不錯，但是炙燒鮪魚上面一堆黑胡椒好難吃，整個味道都被胡椒辣味蓋過去，應該要改成黑胡椒鮪魚壽司🙄🙄
內用給免洗筷真的無法接受，一次店😗",negative
叫號服務員口氣超差不耐煩，握壽司飯鬆散夾起來就散，拉麵湯鹹到不行回家一直灌水，餐點沒有蓋上蓋子,negative
山葵越改越假，真的把消費者當笨蛋？西洋山葵應該就是所謂的辣根=假山葵，是便宜的假山葵醬的主要原料，以前還沒有這麼假，說實在不改善以後真的不會想再來，飯也越來越散，輕輕一夾就崩了…….壽司郎到現在的改動，包括鮭魚大多都是越來越差，決策層真的該好好想想維持品質不是只是想賺黑心錢,negative
現場抽號碼牌，等了大約20分就可入座用餐，不想要拿轉盤上的壽司，可以用平板點餐，上菜速度也蠻快的，推推！！,positive
"一個人吃壽司郎的體驗還蠻不錯的
蒜香花枝天婦羅必點！
甜醬烤牛肉絕對不會再吃一次",positive
"乾淨好吃，新鮮。值得再去。品質讚，馬頭魚握壽司必點，炸起司外酥內超軟。
茶碗蒸好吃，可惜不能外帶。

連去2天。。真的好吃又舒服。",positive
還不錯吃，價格跟其它迴轉壽司比起來不會比較貴，吃飯時間人很多最好事先預約，皮卡丘兌換商品沒有了有點可惜,positive
現場抽號碼牌，假日人潮多，等了大約50分就可入座用餐，不想要拿轉盤上的，可以用平板點餐，上菜速度也蠻快的，適合想吃日本料理的好場所！,positive
"雖然因為物價上漲
品項越來越少
不過壽司的食材～還是有維持住品質
也時常更新菜單推出新品項
這樣很棒！

現點現炸的壽司真的好好吃⋯
牛肉壽司也很讚

用餐環境乾淨整潔也沒有異味
服務人員也很好⋯",positive
連鎖店的好選擇，食材口味整体水準平均好吃，但份量偏少，偶爾吃一下很不錯,positive
第一次吃壽司郎，是有自己小空間的迴轉壽司，除了壽司還有烏龍麵、拉麵等餐食，熱茶提供了綠茶粉供沖泡，有幾款壽司的調味個人覺得偏鹹，特別的是可以透過點餐螢幕點選自己想食用的餐點，會直接送到上面的輸送帶，非常可愛！餐盤的顏色與對應的價格醒目，結帳時只要透過點餐螢幕點選服務/結帳的按鈕，服務人員就會來點算盤數，核對價格後直接去櫃檯結帳就好了！整體而言是值得來嘗試的，2個正常食量的女生吃飽大約是520元，外面有騎樓方便停車.,positive
"環境乾淨，服務人員滿親切的，壽司也好吃，這是我第三次來壽司郎，這盤蝦子（忘了名字），淋上醬油和些許的芥末，超級好吃，炸蝦我也覺得很好吃。
說真的好像沒有什麼可以挑剔的欸，就覺得不錯。",positive
食材新鮮，和藏壽司的東西部分不同，也沒有比較貴多少,positive
"整體來說真的比爭鮮好吃～
不過價錢也比爭鮮貴一點！

但海膽個人覺得口感還好，
之前有吃過好市多的海膽覺得比較鮮甜",positive
現在想吃壽司就會想到壽司郎，這次有吃到黑鮪魚，還不錯，小小體驗一下，還是喜歡蒸蛋、赤蝦~,positive
"壽司郎=品質穩定
中規中矩
壽司郎該有的表現
只是沒有停車場
要找路邊停車比較不方便🥲",positive
壽司已經吃過太多，反而覺得烏龍麵比壽司還好吃,positive
飯體軟硬適中恰到好處，不會一夾或沾醬油就崩掉，搭配著新鮮食材，口感分明有層次,positive
"壽司和甜點我都很喜歡♥︎
甜點來這裡一定必吃😆 …",positive
生食很不錯喔！吃生食真的推薦壽司郎！真心覺得如果開車來真的西門路店會比其他分店方便停車,positive
餐點精緻，價位合理，服務佳,positive
"1.第一次到此分店用餐，一進門沒有動態指引，也沒有服務人員，即便有自動報到機，但是對於第一次光顧此分店根本不曉得
2.座位上只看到茶杯，也沒有服務人員來解說用餐環境，醬油盤也不知道放哪，按了服務鈴詢問，只見一個男的，說了一句：在前面喔，然後就走掉了….，對於吃過這麼多旋轉壽司點來說，真的是用餐服務最不OK的
3.旋轉台上壽司很少，這點倒是沒關係，可以現點，但是….為什麼夾起來米飯都黏在盤子上不然就是斷兩半？再來，點了一盤黃金魚蛋的壽司，送來卻是斷成兩半的魚蛋？？魚蛋還不在飯上？這種品質也敢送，真不敢相信，本來想叫來服務人員，想說送餐品質都這樣了，服務態度也不OK，不想再看臉色，也沒食慾只想離開

總結，壽司郎真的需要加油
比起藏壽司，真的差太多了
壽司郎此分店下次也不會在去了",negative
